Entity,Date,Description,Amount,Candidate,Oppose/Support
"San Diego Labor Coalition Issues PAC, sponsored by Laborers' International Union of North America Local 89",4/4/2025,Text Messages,$850.93,Paloma Aguirre,Oppose
United Domestic Workers of America Action Fund,4/4/2025,Emails,$500.00,Paloma Aguirre,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",4/5/2025,Phonebanking,"$16,724.00",Paloma Aguirre,Support
San Diego Unity Supports Chavez Supervisor 2025       ,4/5/2025,Text Messages,"$6,000.00",Carolina Chavez,Support
"San Diego Labor Coalition Issues PAC, sponsored by Laborers' International Union of North America Local 89",4/5/2025,Text Messages,$961.06,Paloma Aguirre,Oppose
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",4/5/2025,Text Messages,$465.20,Vivian Moreno,Support
"San Diego Working Families Against Paloma Aguirre for Supervisor 2025, Sponsored by Laborers' International Union of North America, Local 89",4/5/2025,Text Messages,"$6,281.95",Paloma Aguirre,Oppose
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",4/6/2025,Text Messages,"$8,882.71",Vivian Moreno,Support
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,4/7/2025,Text Messages,"$3,612.60",John McCann,Support
"San Diego Labor Coalition Issues PAC, sponsored by Laborers' International Union of North America Local 89",4/7/2025,Text Messages,$952.17,Paloma Aguirre,Oppose
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,4/8/2025,Canvassing,"$47,701.58",John McCann,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",4/8/2025,Text Messages,"$7,588.15",Vivian Moreno,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",4/8/2025,Field Outreach,"$47,655.71",Vivian Moreno,Support
"San Diego Labor Coalition Issues PAC, sponsored by Laborers' International Union of North America Local 89",4/8/2025,Text Messages,$952.05,Paloma Aguirre,Oppose
"San Diego Labor Coalition Issues PAC, sponsored by Laborers' International Union of North America Local 89",4/8/2025,Consulting,"$2,000.00",Paloma Aguirre,Oppose
"San Diego Working Families Against Paloma Aguirre for Supervisor 2025, Sponsored by Laborers' International Union of North America, Local 89",4/8/2025,Design,"$1,250.00",Paloma Aguirre,Oppose
